Name,Symbol
Ambuja Cements Limited,AMBUJACEM
Power Finance Corporation Limited,PFC
Britannia Industries Limited,BRITANNIA
Abb India Limited,ABB
SBI Cards & Payment Services Ltd,SBICARD
Hindustan Copper Limited,HINDCOPPER
Bandhan Bank Ltd,BANDHANBNK
AU Small Finance Bank,AUBANK
Bharti Airtel Limited,BHARTIARTL
L&T Finance Ltd,LTF
Bajaj Finserv Limited,BAJAJFINSV
Interglobe Aviation Limited,INDIGO
Hdfc Bank Limited,HDFCBANK
Ultratech Cement Limited,ULTRACEMCO
Upl Limited,UPL
Vedanta Limited,VEDL
Canara Bank,CANBK
Rural Electrification Corporation Limited,RECLTD
Kotak Mahindra Bank Limited,KOTAKBANK
Polycab India Ltd,POLYCAB
Hindalco Industries Limited,HINDALCO
Acc Limited,ACC
Angel One Ltd,ANGELONE
Petronet Lng Limited,PETRONET
Hindustan Unilever Limited,HINDUNILVR
HDFC Life Insurance Company Ltd,HDFCLIFE
CG Power and Industrial Solutions Ltd,CGPOWER
Poonawalla Fincorp Ltd,POONAWALLA
Crompton Greaves Consumer Electricals Limited,CROMPTON
Jio Financial Services Ltd,JIOFIN
Tata Steel Limited,TATASTEEL
Nmdc Limited,NMDC
Indian Oil Corporation Limited,IOC
Kei Industries Limited,KEI
Nestle India Limited,NESTLEIND
Bharat Electronics Limited,BEL
Shree Cements Limited,SHREECEM
Maruti Suzuki India Limited,MARUTI
Exide Industries Limited,EXIDEIND
Itc Limited,ITC
Mrf Limited,MRF
Larsen & Toubro Limited,LT
Tata Motors Limited,TATAMOTORS
SBI Life Insurance Company Ltd,SBILIFE
Kalyan Jewellers India Ltd,KALYANKJIL
Jsw Steel Limited,JSWSTEEL
Oil India Limited,OIL
Life Insurance Corporation of India,LICI
Iifl Holdings Limited,IIFL
Mahindra & Mahindra Limited,M&M
Sun Pharmaceuticals Industries Limited,SUNPHARMA
Pi Industries Limited,PIIND
Oil & Natural Gas Corporation Limited,ONGC
Bosch Limited,BOSCHLTD
NIFTY,^NSEI
Dalmia Bharat Limited,DALBHARAT
Steel Authority Of India Limited,SAIL
Icici Bank Limited,ICICIBANK
Manappuram Finance Limited,MANAPPURAM
Jindal Stainless Limited,JSL
Rbl Bank Limited,RBLBANK
Titan Company Limited,TITAN
Bharat Forge Limited,BHARATFORG
Cyient Limited,CYIENT
Axis Bank Limited,AXISBANK
Dixon Technologies,DIXON
Persistent Systems Limited,PERSISTENT
The Ramco Cements Limited,RAMCOCEM
Coal India Limited,COALINDIA
Escorts Limited,ESCORTS
Syngene International Limited,SYNGENE
LTI Mindtree Ltd,LTIM
Cipla Limited,CIPLA
Indian Railway Catering & Tourism Corporation Ltd,IRCTC
Adani Enterprises Limited,ADANIENT
Trent Limited,TRENT
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Tvs Motor Company Limited,TVSMOTOR
Adani Green Energy Ltd,ADANIGREEN
Hcl Technologies Limited,HCLTECH
Godrej Consumer Products Limited,GODREJCP
Adani Ports And Special Economic Zone Limited,ADANIPORTS
Balkrishna Industries Limited,BALKRISIND
Glenmark Pharmaceuticals Limited,GLENMARK
Pidilite Industries Limited,PIDILITIND
Mahindra & Mahindra Financial Services Limited,M&MFIN
Nhpc Limited,NHPC
Adani Total Gas Ltd,ATGL
Oracle Financial Services Software Limited,OFSS
Jindal Steel & Power Limited,JINDALSTEL
IDFC First Bank Ltd,IDFCFIRSTB
Bharat Petroleum Corporation Limited,BPCL
Asian Paints Limited,ASIANPAINT
Muthoot Finance Limited,MUTHOOTFIN
Dr. Reddy's Laboratories Limited,DRREDDY
Wipro Limited,WIPRO
Irb Infrastructure Developers Limited,IRB
Reliance Industries Limited,RELIANCE
Marico Limited,MARICO
Birlasoft Ltd,BSOFT
Indian Energy Exchange Ltd,IEX
Apollo Tyres Limited,APOLLOTYRE
Tata Consultancy Services Limited,TCS
Tech Mahindra Limited,TECHM
Sona BLW Precision Forgings Ltd,SONACOMS
Hindustan Petroleum Corporation Limited,HINDPETRO
Torrent Power Limited,TORNTPOWER
Cummins India Limited,CUMMINSIND
Varun Beverages Limited,VBL
Aditya Birla Capital Ltd,ABCAPITAL
KPIT Technologies Ltd,KPITTECH
TATA Consumer Products Ltd,TATACONSUM
Pnb Housing Finance Limited,PNBHOUSING
Yes Bank Limited,YESBANK
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
Coforge (Niit Tech),COFORGE
Lupin Limited,LUPIN
Infosys Limited,INFY
Hindustan Aeronautics Ltd,HAL
Solar Industries India Limited,SOLARINDS
Mphasis Limited,MPHASIS
FSN E-Commerce Ventures Ltd,NYKAA
Bharat Heavy Electricals Limited,BHEL
Grasim Industries Limited,GRASIM
Info Edge (india) Limited,NAUKRI
Indus Towers Ltd (Bharti Infratel),INDUSTOWER
Adani Energy Solutions Ltd,ADANIENSOL
Patanjali Foods Ltd,PATANJALI
Lic Housing Finance Limited,LICHSGFIN
Eternal Ltd,ETERNAL
PB Fintech Ltd,POLICYBZR
GMR Airports Ltd,GMRAIRPORT
Idea Cellular Limited,IDEA
